id|BZID|State|Headline|Owner|Contacter|BZURL|
SPCSS00501871|915630|Opened|[SC7731E][CARON][cm05]进入相机进行拍照，拍照后查看图片-详情，按返回键返回预览界面过程中，反应慢。|qiao.lei|许娇|http://bugzilla.unisoc.com/bugzilla/show_bug.cgi?id=915630|
SPCSS00505616|921856|Opened|[SC7731E][CARON][cm05]【量产加急】相机后摄预览界面水波纹明显|tangqing1214|龚玲珑|http://bugzilla.unisoc.com/bugzilla/show_bug.cgi?id=921856|
SPCSS00502348|916417|Opened|[SC7731E][CARON][cm05]客户反馈：SD Card Insertion Notification unavailable except once when we first time after Upgarding DUT insert it|yangyang0621|许娇|http://bugzilla.unisoc.com/bugzilla/show_bug.cgi?id=916417|
SPCSS00499375|911619|Opened|[SC7731E][CARON][cm05]【量产加急】客户反馈：Play store is not Auto Updating Pre installed apps over Wi-Fi at 04:59 PM|sam.chiu|龚玲珑|http://bugzilla.unisoc.com/bugzilla/show_bug.cgi?id=911619|
SPCSS00503998|919222|NeedInfo|[SC7731E][CARON][cm05]【量产加急】客户反馈：内存只剩500M，联系人4000条，短信存10000条，进入联系人时响应慢|wangwp0829|龚玲珑|http://bugzilla.unisoc.com/bugzilla/show_bug.cgi?id=919222|
SPCSS00504669|920304|Opened|[SC7731E][CARON][cm05]【量产加急】客户反馈：进入相机反应慢，点击进入相机到呈现预览画面的时间需要3.8s以上，需优化|nanjun.zhong|许娇|http://bugzilla.unisoc.com/bugzilla/show_bug.cgi?id=920304|
SPCSS00503884|918976|Opened|[SC7731E][CARON][CM05]【申请加急处理】CTS 测试项：CtsCameraTestCases--android.hardware.camera2.cts.MultiViewTest#testDualCameraPreview fail|Xianyun.He|罗承军|http://bugzilla.unisoc.com/bugzilla/show_bug.cgi?id=918976|
SPCSS00500148|912875|Opened|[SC7731E][CARON][CM05]【申请加急处理】GSI 测试项：CtsJvmtiTrackingHostTestCases--android.jvmti.cts.JvmtiHostTestAllocationTracking#testJvmti fail|leon.wang|罗承军|http://bugzilla.unisoc.com/bugzilla/show_bug.cgi?id=912875|
SPCSS00496957|907649|Opened|[SC7731E][CARON][CM05]【量产加急】客户反馈：CM05后摄像头主观优化|qiao.lei|罗荣花|http://bugzilla.unisoc.com/bugzilla/show_bug.cgi?id=907649|
SPCSS00502328|916395|Opened|[SC7731E][CARON][cm05]客户反馈：UC Browser In Default SMS apps and some default app not selected by default|xubb0326|许娇|http://bugzilla.unisoc.com/bugzilla/show_bug.cgi?id=916395|
SPCSS00503211|917849|NeedInfo|[SC7731E][CARON][cm05]卡1移动，卡2联通，语言为英文时，在短信界面点击右下角SIM卡图标时，卡1，卡2显示顺序相反，并都显示为中文，并且切换为卡2发送彩信时，提示错误|Glen.Wu|龚玲珑|http://bugzilla.unisoc.com/bugzilla/show_bug.cgi?id=917849|
SPCSS00504488|920041|Opened|[SC7731E][CARON][CM05]后摄像头模组兼容。|nanjun.zhong|谭训成|http://bugzilla.unisoc.com/bugzilla/show_bug.cgi?id=920041|
SPCSS00503418|918222|NeedInfo|[SC7731E][CARON][CM05]GPS不能搜星定位|Andy.Hao|张杰|http://bugzilla.unisoc.com/bugzilla/show_bug.cgi?id=918222|
SPCSS00505629|921870|Submitted|[SC7731E][CARON][cm05]【量产加急】样机在黑暗处进行后摄拍照，进入相册点击照片（此时状态栏会显示出来），观察顶端或低端黑色区域均发现有多条横线|sandy.wan|许娇|http://bugzilla.unisoc.com/bugzilla/show_bug.cgi?id=921870|
SPCSS00503881|918974|Opened|[SC7731E][CARON][CM05]【申请加急处理】CTS 测试项： CtsCameraTestCases--android.hardware.camera2.cts.CameraDeviceTest#testCameraDeviceCapture fail|Xianyun.He|罗承军|http://bugzilla.unisoc.com/bugzilla/show_bug.cgi?id=918974|
SPCSS00505681|921937|Submitted|[SC7731E][CARON][CM05]【申请加急处理】CTS 测试项：CtsCameraTestCases--android.hardware.cts.CameraGLTest#testCameraToSurfaceTextureMetadata fail|zhouyong0701|罗承军|http://bugzilla.unisoc.com/bugzilla/show_bug.cgi?id=921937|
